"wflow_id",".config","preproc","model",".metric",".estimator","mean","n","std_err"
"bazowy_przepis_decision_tree","pre0_mod06_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod07_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod07_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod07_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod07_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod07_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod08_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod08_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod08_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod08_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod08_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod09_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod09_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod09_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod09_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod09_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod10_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod10_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod10_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod10_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod10_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod11_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod11_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod11_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod11_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod11_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod12_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod12_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod12_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod12_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod12_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod13_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod13_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod13_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod13_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod13_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod14_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod14_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod14_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod14_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod14_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod15_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod15_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod15_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod15_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod15_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_random_forest","pre0_mod02_post0","recipe","rand_forest","f_meas","binary",0.464444085587429,5,0.00138739355154055
"bazowy_przepis_random_forest","pre0_mod02_post0","recipe","rand_forest","pr_auc","binary",0.426325580975965,5,0.00677474444613826
"bazowy_przepis_random_forest","pre0_mod02_post0","recipe","rand_forest","precision","binary",0.365935889093708,5,0.00228966929463493
"bazowy_przepis_random_forest","pre0_mod02_post0","recipe","rand_forest","recall","binary",0.635679640707701,5,0.00264696956712719
"bazowy_przepis_random_forest","pre0_mod02_post0","recipe","rand_forest","roc_auc","binary",0.791650863372742,5,0.00128071984804805
"bazowy_przepis_random_forest","pre0_mod04_post0","recipe","rand_forest","f_meas","binary",0.454477202464628,5,0.0020411018012876
"bazowy_przepis_random_forest","pre0_mod04_post0","recipe","rand_forest","pr_auc","binary",0.430285067948898,5,0.00682606450181294
"bazowy_przepis_random_forest","pre0_mod04_post0","recipe","rand_forest","precision","binary",0.350633553811618,5,0.0025498148298818
"bazowy_przepis_random_forest","pre0_mod04_post0","recipe","rand_forest","recall","binary",0.645917512234585,5,0.0041403258847072
"bazowy_przepis_random_forest","pre0_mod04_post0","recipe","rand_forest","roc_auc","binary",0.79165889307065,5,0.00159668744163065
"bazowy_przepis_xgboost","pre0_mod14_post0","recipe","boost_tree","f_meas","binary",0.456626493000041,5,0.00346873685258197
"bazowy_przepis_xgboost","pre0_mod14_post0","recipe","boost_tree","pr_auc","binary",0.441139396808536,5,0.00534934384807182
"bazowy_przepis_xgboost","pre0_mod14_post0","recipe","boost_tree","precision","binary",0.358043763879472,5,0.00433212606387157
"bazowy_przepis_xgboost","pre0_mod14_post0","recipe","boost_tree","recall","binary",0.630562337431481,5,0.00543304570531309
"bazowy_przepis_xgboost","pre0_mod14_post0","recipe","boost_tree","roc_auc","binary",0.795966188898759,5,0.00189047781136878
"bazowy_przepis_neural_net","pre0_mod04_post0","recipe","mlp","f_meas","binary",0.454768009901049,5,0.00305530515637306
"bazowy_przepis_neural_net","pre0_mod04_post0","recipe","mlp","pr_auc","binary",0.407378143362303,5,0.0122025025182758
"bazowy_przepis_neural_net","pre0_mod04_post0","recipe","mlp","precision","binary",0.355840429912578,5,0.00424941592071409
"bazowy_przepis_neural_net","pre0_mod04_post0","recipe","mlp","recall","binary",0.630289530678063,5,0.00354806030858088
"bazowy_przepis_neural_net","pre0_mod04_post0","recipe","mlp","roc_auc","binary",0.786210217600595,5,0.00195933841509905
"bazowy_przepis_neural_net","pre0_mod12_post0","recipe","mlp","f_meas","binary",0.453313496867205,5,0.00340816027577
"bazowy_przepis_neural_net","pre0_mod12_post0","recipe","mlp","pr_auc","binary",0.425821931860473,5,0.00352037839914553
"bazowy_przepis_neural_net","pre0_mod12_post0","recipe","mlp","precision","binary",0.351302642799924,5,0.00360990079074901
"bazowy_przepis_neural_net","pre0_mod12_post0","recipe","mlp","recall","binary",0.639186223258952,5,0.00681451152731194
"bazowy_przepis_neural_net","pre0_mod12_post0","recipe","mlp","roc_auc","binary",0.785855662396197,5,0.00180672068935659
